"荷主コード","荷主名","拠点コード","拠点名","商品コード","枝番","商品名","上位商品コード","JANコード","ITFコード","カテゴリー名","仕入先コード","仕入先名","在庫数","数量単位","引当数","未引当数","入荷実績数","出荷実績数","属性１","属性２","属性３","ロットNo","製造日","賞味期限","入荷日","在庫区分名","入庫No","出荷期限","最終入庫日","最終出庫日"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933235","","★【リキュール】★002★ MANGO WONDER【200ml】","","","","","","","8","","0","8","0","0","","","","","","","2026/03/17","通常品","260317062704","","2026/03/17",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933235","","★【リキュール】★002★ MANGO WONDER【200ml】","","","","","","","2","","0","2","0","0","","","","","","","2026/05/26","通常品","260526064855","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933235","","★【リキュール】★002★ MANGO WONDER【200ml】","","","","","","","5","","0","5","0","0","","","","","","","2026/06/01","通常品","260601065117","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933259","","★【ウイスキー】MIZUNARA　12年（700ml）","","","","","","","137","","0","137","0","36","2026年2月充填分","","","","","","2026/04/28","通常品","260428063946","","2026/04/28","2026/09/01"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933266","","★【ウイスキー】BOURBON　7年（700ml）","","","","","","","259","","2","257","0","38","2026年7月充填分","","","","","","2026/07/27","通常品","260727066731","","2026/07/27","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933266","","★【ウイスキー】BOURBON　7年（700ml）","","","","","","","4","","0","4","4","0","2026年7月充填分","","","","","","2026/08/31","通常品","260831068580","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933297","","Non Ale Wonder0.00%：370ml","","","","","","","6","","0","6","6","0","","","","","","","2026/08/31","通常品","260831068581","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933297","","Non Ale Wonder0.00%：370ml","","","","","","","180","","1","179","0","2","","","","","","2027/04/30","2026/07/06","通常品","260730066837","2027/04/30","2026/07/30","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933303","","Non Ale Wonder0.00% Yuzu：370ml","","","","","","","6","","0","6","6","0","","","","","","","2026/08/31","通常品","260831068582","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933303","","Non Ale Wonder0.00% Yuzu：370ml","","","","","","","173","","1","172","0","2","","","","","","2027/04/30","2026/07/06","通常品","260730066838","2027/04/30","2026/07/30","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933310","","Non Ale Wonder0.00% Ginger：370ml","","","","","","","6","","0","6","6","0","","","","","","","2026/08/31","通常品","260831068583","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933310","","Non Ale Wonder0.00% Ginger：370ml","","","","","","","173","","1","172","0","2","","","","","","2027/04/30","2026/07/06","通常品","260730066839","2027/04/30","2026/07/30","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933327","","【卸専売品】STRAWBERRY WONDER：500ml","","4595989933327","","","","","47","","0","47","0","10","2026年4月27日製造分","","","","","","2026/05/07","通常品","260507063954","","2026/05/07","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933327","","【卸専売品】STRAWBERRY WONDER：500ml","","4595989933327","","","","","1","","0","1","0","0","2026年4月27日製造分","","","","","","2026/05/21","通常品","260521064774","","2026/05/21","2026/06/26"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933327","","【卸専売品】STRAWBERRY WONDER：500ml","","4595989933327","","","","","5","","0","5","0","0","2026年4月27日製造分","","","","","","2026/07/31","通常品","260731066865","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933327","","【卸専売品】STRAWBERRY WONDER：500ml","","4595989933327","","","","","31","","0","31","0","0","2026年4月27日製造分","","","","","","2026/08/24","通常品","260824068277","","2026/08/24",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933341","","【リキュール】MANGO WONDER（500ml）〈リニューアル版〉","","4595989933341","","","","","287","","0","287","0","3","2026年8月7日納品分","","","","","","2026/08/10","通常品","260810067512","","2026/08/10","2026/08/27"
"000250","CRAFT WONDER","001","ソネッティーク","BEER-B-250801","","●【ギフトボックス】Beer 310ml用ギフトボックス ver.1（取手付き）","","","","","","","205","","0","205","0","0","","","","","","","2025/08/26","通常品","250826049594","","2025/08/26","2026/07/16"
"000250","CRAFT WONDER","001","ソネッティーク","BEER-G-260201","","ビール310ml用　2本ギフトボックス","","","","","","","107","","0","107","0","0","","","","","","","2026/03/11","通常品","260311062654","","2026/03/11","2026/07/17"
"000250","CRAFT WONDER","001","ソネッティーク","BEER-G-260201","","ビール310ml用　2本ギフトボックス","","","","","","","15","","0","15","0","0","","","","","","","2026/03/19","通常品","260319062884","","2026/03/19",""
"000250","CRAFT WONDER","001","ソネッティーク","BEER-G-260501","","【ギフトボックス】ビール 3本用（370ml）","","","","","","","1159","","1","1158","0","2","","","","","","","2026/05/15","通常品","260515064633","","2026/05/15","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","BEER-G-260501","","【ギフトボックス】ビール 3本用（370ml）","","","","","","","5","","0","5","5","0","B級品","","","","","","2026/08/31","通常品","260831068663","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","BEER-G-260501","","【ギフトボックス】ビール 3本用（370ml）","","","","","","","1","","0","1","1","0","箱潰れ","","","","","","2026/08/31","通常品","260831068664","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","FD_C_260601","","【ギフト資材】父の日メッセージカード（名刺サイズ）","","","","","","","48","","0","48","0","0","","","","","","","2026/06/03","通常品","260603065251","","2026/06/03","2026/06/24"
"000250","CRAFT WONDER","001","ソネッティーク","FD_S_260601","","【ギフト資材】父の日ステッカー（ブルー×ホワイト）","","","","","","","70","","0","70","0","0","","","","","","","2026/06/03","通常品","260603065252","","2026/06/03","2026/06/24"
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","494","","0","494","0","2","","","","","","","2025/08/26","通常品","250826049588","","2025/08/28","2026/09/01"
